,,,,,
,,,,,
,,,,,
Name,#1,#2,#3,#4,#4
Correction,UV,UV,UV,UV,UV
Date,2024/10/08,2024/10/08,2024/10/08,2024/10/08,2024/10/08
Time,17:09:24,17:10:17,17:10:48,17:11:10,17:11:10
Sync. frequency [Hz],0.00,0.00,0.00,0.00,0.00
T_int [ms],72.83,134.49,100.00,27885.52,27885.52
Averages,3,3,3,3,3
,,,,,
,,,,,
,,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
627,1.47071E-03,5.83248E-04,1.62819E-06,1.20006E-06,1.20006E-06
628,2.42743E-03,9.66351E-04,3.03875E-06,1.95815E-06,1.95815E-06
629,3.76621E-03,1.49412E-03,6.64164E-06,3.14772E-06,3.14772E-06
630,4.91389E-03,1.95162E-03,8.62681E-06,3.87137E-06,3.87137E-06
631,5.47067E-03,2.16647E-03,1.12242E-05,4.40189E-06,4.40189E-06
632,5.29656E-03,2.09364E-03,9.46153E-06,3.99956E-06,3.99956E-06
633,4.84680E-03,1.91839E-03,1.05550E-05,3.66684E-06,3.66684E-06
634,4.45416E-03,1.77254E-03,1.06288E-05,3.63064E-06,3.63064E-06
635,4.07360E-03,1.61432E-03,8.57842E-06,3.29675E-06,3.29675E-06
636,3.41519E-03,1.34455E-03,8.41337E-06,2.83465E-06,2.83465E-06
637,2.43847E-03,9.62506E-04,7.06872E-06,1.67617E-06,1.67617E-06
638,1.53025E-03,6.08031E-04,4.45921E-06,1.23116E-06,1.23116E-06
639,9.14698E-04,3.66223E-04,2.36472E-06,9.35282E-07,9.35282E-07
640,5.51744E-04,2.21197E-04,2.51698E-06,4.70504E-07,4.70504E-07
641,3.75008E-04,1.48772E-04,2.10235E-07,4.48178E-07,4.48178E-07
642,3.07630E-04,1.19079E-04,1.62863E-06,2.02868E-07,2.02868E-07
643,2.94942E-04,1.17418E-04,5.64379E-08,1.26068E-07,1.26068E-07
644,3.61511E-04,1.44872E-04,1.34970E-06,2.94223E-07,2.94223E-07
645,5.51008E-04,2.17194E-04,1.52579E-06,4.98552E-07,4.98552E-07
646,8.03340E-04,3.15396E-04,3.11522E-06,7.82077E-07,7.82077E-07
647,9.87887E-04,3.93789E-04,3.67757E-06,7.73028E-07,7.73028E-07
648,1.02075E-03,4.09846E-04,3.72466E-06,6.65957E-07,6.65957E-07
649,8.71674E-04,3.45594E-04,4.62469E-06,7.11556E-07,7.11556E-07
650,6.48678E-04,2.58859E-04,4.47123E-06,5.38978E-07,5.38978E-07
651,4.72077E-04,1.85168E-04,3.29038E-07,8.07348E-08,8.07348E-08
652,3.64214E-04,1.46385E-04,1.35767E-07,2.07536E-07,2.07536E-07
653,2.99896E-04,1.21600E-04,6.99444E-07,4.40345E-07,4.40345E-07
654,2.52709E-04,1.03184E-04,8.34858E-07,4.73519E-07,4.73519E-07
655,2.12631E-04,8.79143E-05,2.59509E-06,4.11982E-07,4.11982E-07
656,1.90451E-04,7.21010E-05,1.94335E-07,1.37160E-07,1.37160E-07
657,1.63720E-04,6.56903E-05,0.00000E+00,4.33426E-07,4.33426E-07
658,1.47063E-04,5.46534E-05,1.18910E-07,1.51487E-07,1.51487E-07
659,1.23263E-04,4.84523E-05,1.62509E-07,2.37141E-07,2.37141E-07
660,1.13993E-04,4.47876E-05,2.48149E-06,1.68786E-07,1.68786E-07
661,1.04020E-04,4.09819E-05,1.68728E-06,3.11099E-07,3.11099E-07
662,8.33056E-05,3.59649E-05,1.96470E-06,1.75590E-08,1.75590E-08
663,7.07842E-05,2.92324E-05,0.00000E+00,7.87726E-08,7.87726E-08
664,6.41635E-05,2.69168E-05,6.85347E-07,0.00000E+00,0.00000E+00
665,5.85895E-05,2.46503E-05,3.08258E-07,0.00000E+00,0.00000E+00
666,5.67708E-05,2.07484E-05,0.00000E+00,0.00000E+00,0.00000E+00
667,5.90081E-05,2.86697E-05,2.55756E-06,1.05358E-07,1.05358E-07
